NXDOMAIN DATA

manager.paypal.com                                manager.payflow.edge.paypal.com.                  lookup manager.payflow.edge.paypal.com.: getaddrinfow: This is usually a temporary error during hostname resolution and means that the local server did not receive a response from an authoritative server.
api.stage2d0119.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0099.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0099.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0089.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0118.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0119.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0118.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0109.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0078.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0088.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0109.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0088.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0098.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2std059.stage.paypal.com                 cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
www.stage2mobile10.paypal.com                     www.stage2mobile10.paypal.com.                    lookup www.stage2mobile10.paypal.com.: no such host
www.stage2std053.stage.paypal.com                 cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
api.stage2d0098.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2md060.stage.paypal.com                  cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
api.stage2p1114.stage.paypal.com                  cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
api.stage2md006.stage.paypal.com                  cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
www.stage2md006.stage.paypal.com                  cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
api.stage2gce006.stage.paypal.com                 cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
api.stage2p1435.stage.paypal.com                  cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
api.stage2p2310.stage.paypal.com                  cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
www.stage2gce002.stage.paypal.com                 cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
www.stage2p1435.stage.paypal.com                  cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
api.stage2p1673.stage.paypal.com                  cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
api.stage2gce002.stage.paypal.com                 cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
secure.quickbooks.stage2.paypal.com               www.quickbooks.stage2.paypal.com.                 lookup www.quickbooks.stage2.paypal.com.: no such host
www.stage2gce001.stage.paypal.com                 cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
api.stage2m011.stage.paypal.com                   cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
api.stage2gce005.stage.paypal.com                 cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
www.stage2gce005.stage.paypal.com                 cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
api.stage2p1366.stage.paypal.com                  cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
www.stage2m011.stage.paypal.com                   cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
www.stage2p1366.stage.paypal.com                  cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
api.stage2lp30.stage.paypal.com                   cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
www.stage2m016.stage.paypal.com                   cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
www.stage2lp30.stage.paypal.com                   cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
api.stage2ms210.stage.paypal.com                  cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
api.stage2p1707.stage.paypal.com                  cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
api.stage2p1277.stage.paypal.com                  cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
www.stage2p1277.stage.paypal.com                  cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
www.stage2md057.stage.paypal.com                  cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
www.stage2p2310.stage.paypal.com                  cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
api.stage2std019.stage.paypal.com                 cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
www.stage2std019.stage.paypal.com                 cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
www.stage2std067.stage.paypal.com                 cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
api.stage2dev348.stage.paypal.com                 cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
www.stage2dev348.stage.paypal.com                 cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
api.stage2std058.stage.paypal.com                 cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
www.stage2std058.stage.paypal.com                 cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
api.stage2p2359.stage.paypal.com                  cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
api.stage2p1719.stage.paypal.com                  cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
www.stage2m039.stage.paypal.com                   cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
api.stage2p7319.stage.paypal.com                  cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
api.stage2p1429.stage.paypal.com                  cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
api.stage2std067.stage.paypal.com                 cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
api.stage2std059.stage.paypal.com                 cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
www.stage2p2359.stage.paypal.com                  cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
www.stage2p1429.stage.paypal.com                  cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
www.stage2p2345.stage.paypal.com                  cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
api.stage2p1109.stage.paypal.com                  cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
www.stage2p1109.stage.paypal.com                  cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
api.stage2lp19.stage.paypal.com                   cei5.stage.paypal.com.                            lookup cei5.stage.paypal.com.: no such host
emsadmin.stage2mb101.paypal.com                   www.stage2mb101.paypal.com.                       lookup www.stage2mb101.paypal.com.: no such host
www.stage2mb102.paypal.com                        www.stage2mb102.paypal.com.                       lookup www.stage2mb102.paypal.com.: no such host
developer.paypal.com                              developer.glb.paypal.com.                         lookup developer.glb.paypal.com.: no such host
moneyadmin.stage2mb107.paypal.com                 www.stage2mb107.paypal.com.                       lookup www.stage2mb107.paypal.com.: no such host
ffxadmin.stage2mb101.paypal.com                   www.stage2mb101.paypal.com.                       lookup www.stage2mb101.paypal.com.: no such host
moneyadmin.stage2mb110.paypal.com                 www.stage2mb110.paypal.com.                       lookup www.stage2mb110.paypal.com.: no such host
business.paypal.com                               business.paypal.com.                              lookup business.paypal.com.: no such host
creditcard.paypal.com                             www.paypalcreditcard.co.uk.                       lookup www.paypalcreditcard.co.uk.: no such host
emsadmin.stage2mb102.paypal.com                   www.stage2mb102.paypal.com.                       lookup www.stage2mb102.paypal.com.: no such host
msoid.paypal.com                                  clientconfig.microsoftonline-p.net.               lookup clientconfig.microsoftonline-p.net.: no such host
emsadmin.stage2mb108.paypal.com                   www.stage2mb108.paypal.com.                       lookup www.stage2mb108.paypal.com.: no such host
emsadmin.stage2mb107.paypal.com                   www.stage2mb107.paypal.com.                       lookup www.stage2mb107.paypal.com.: no such host
ffxadmin.stage2mb107.paypal.com                   www.stage2mb107.paypal.com.                       lookup www.stage2mb107.paypal.com.: no such host
pointofsale-1a.paypal.com                         pointofsale-s.paypal.com.edgekey.net.             lookup pointofsale-s.paypal.com.edgekey.net.: no such host
pointofsale-6a.paypal.com                         pointofsale-s.paypal.com.edgekey.net.             lookup pointofsale-s.paypal.com.edgekey.net.: no such host
emsadmin.stage2mb110.paypal.com                   www.stage2mb110.paypal.com.                       lookup www.stage2mb110.paypal.com.: no such host
ffxadmin.stage2mb110.paypal.com                   www.stage2mb110.paypal.com.                       lookup www.stage2mb110.paypal.com.: no such host
pointofsale-2a.paypal.com                         pointofsale-s.paypal.com.edgekey.net.             lookup pointofsale-s.paypal.com.edgekey.net.: no such host
pointofsale-3a.paypal.com                         pointofsale-s.paypal.com.edgekey.net.             lookup pointofsale-s.paypal.com.edgekey.net.: no such host
